,Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,Pivot Field Values
77,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,Hispanic/ Latino,11
78,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,African American,6
79,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enr,All,3
80,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,All,8
81,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,All,47
82,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,Domestic Unknown,6
83,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,White,4
84,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,White,13
85,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,Asian,5
86,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,Asian,10
87,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,Asian,42
88,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,All,7
89,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,All,14
90,ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,All,66
91,ADVANCED TECHNOLOGIES ACADEMY290134,ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,NV,App,Asian,5
92,ADVANCED TECHNOLOGIES ACADEMY290134,ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,NV,App,All,12
93,AFFILIATED HIGH SC PEKING UNIV694474,AFFILIATED HIGH SC PEKING UNIV,,,App,Inter- national,54
94,AFFILIATED HIGH SC PEKING UNIV694474,AFFILIATED HIGH SC PEKING UNIV,,,App,All,55
95,AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,White,16
96,AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,All,4
