,Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,Pivot Field Values
2957,INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,App,White,25
2958,INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,App,Asian,6
2959,INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,App,African American,5
2960,INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,Adm,All,4
2961,INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,App,All,42
2962,INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,Adm,Asian,3
2963,INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,App,Asian,10
2964,INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,App,Hispanic/ Latino,9
2965,INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,Adm,All,4
2966,INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,App,All,23
2967,INTERNATIONAL SCH NIDO AGUILAS920450,INTERNATIONAL SCH NIDO AGUILAS,,,App,Inter- national,5
2968,INTERNATIONAL SCH NIDO AGUILAS920450,INTERNATIONAL SCH NIDO AGUILAS,,,Adm,All,3
2969,INTERNATIONAL SCH NIDO AGUILAS920450,INTERNATIONAL SCH NIDO AGUILAS,,,App,All,10
2970,INTERNATIONAL SCHOOL AMSTERDAM759120,INTERNATIONAL SCHOOL AMSTERDAM,,,App,All,6
2971,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,Enr,Inter- national,4
2972,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,Adm,Inter- national,6
2973,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,App,Inter- national,40
2974,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,App,Asian,21
2975,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,Enr,All,6
2976,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,Adm,All,9
2977,INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,App,All,63
2978,INTERNATIONAL SCHOOL BANGKOK695220,INTERNATIONAL SCHOOL BANGKOK,,,App,Inter- national,13
2979,INTERNATIONAL SCHOOL BANGKOK695220,INTERNATIONAL SCHOOL BANGKOK,,,App,Asian,6
2980,INTERNATIONAL SCHOOL BANGKOK695220,INTERNATIONAL SCHOOL BANGKOK,,,Adm,All,3
2981,INTERNATIONAL SCHOOL BANGKOK695220,INTERNATIONAL SCHOOL BANGKOK,,,App,All,20
2982,INTERNATIONAL SCHOOL CURITIBA910130,INTERNATIONAL SCHOOL CURITIBA,,,App,All,5
2983,INTERNATIONAL SCHOOL HYDERABAD671634,INTERNATIONAL SCHOOL HYDERABAD,,,App,Asian,6
2984,INTERNATIONAL SCHOOL HYDERABAD671634,INTERNATIONAL SCHOOL HYDERABAD,,,App,All,8
2985,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,Adm,Inter- national,5
2986,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,App,Inter- national,22
2987,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,Adm,Asian,4
2988,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,App,Asian,10
2989,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,Enr,All,3
2990,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,Adm,All,9
2991,INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,,,App,All,34
2992,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,App,Inter- national,21
2993,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,Enr,Asian,4
2994,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,Adm,Asian,4
2995,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,App,Asian,18
2996,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,Enr,All,6
2997,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,Adm,All,6
2998,INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,,,App,All,41
2999,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Enr,White,6
3000,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Adm,White,6
3001,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,App,White,19
3002,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Enr,All,8
3003,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Adm,All,8
3004,INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,App,All,24
3005,INTERNATIONAL SCHOOL480068,INTERNATIONAL SCHOOL,Bellevue,WA,App,Asian,15
3006,INTERNATIONAL SCHOOL480068,INTERNATIONAL SCHOOL,Bellevue,WA,App,All,16
3007,IOLANI SCHOOL120040,IOLANI SCHOOL,Honolulu,HI,App,Asian,15
3008,IOLANI SCHOOL120040,IOLANI SCHOOL,Honolulu,HI,Adm,All,4
3009,IOLANI SCHOOL120040,IOLANI SCHOOL,Honolulu,HI,App,All,17
3010,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,Inter- national,5
3011,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,Domestic Unknown,7
3012,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,White,9
3013,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,Enr,Asian,14
3014,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,Adm,Asian,26
3015,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,Asian,105
3016,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,Hispanic/ Latino,5
3017,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,Enr,All,15
3018,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,Adm,All,29
3019,IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,App,All,131
3020,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,App,Inter- national,8
3021,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,App,Domestic Unknown,12
3022,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,App,White,5
3023,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,Enr,Asian,28
3024,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,Adm,Asian,45
3025,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,App,Asian,187
3026,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,Enr,All,31
3027,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,Adm,All,50
3028,IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,App,All,218
3029,ISLAND SCHOOL670122,ISLAND SCHOOL,,,App,Inter- national,12
3030,ISLAND SCHOOL670122,ISLAND SCHOOL,,,App,All,13
3031,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,App,White,15
3032,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,Enr,Asian,3
3033,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,Adm,Asian,9
3034,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,App,Asian,37
3035,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,Enr,All,4
3036,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,Adm,All,12
3037,ISSAQUAH HIGH SCHOOL480500,ISSAQUAH HIGH SCHOOL,Issaquah,WA,App,All,58
3038,ITHACA HIGH SCHOOL332535,ITHACA HIGH SCHOOL,Ithaca,NY,App,All,5
3039,JACKSON HOLE HIGH SCHOOL510210,JACKSON HOLE HIGH SCHOOL,Jackson,WY,App,All,5
3040,JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,,,Adm,Inter- national,4
3041,JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,,,App,Inter- national,48
3042,JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,,,App,Asian,15
3043,JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,,,Adm,All,5
3044,JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,,,App,All,63
3045,JAMES A GARFIELD HIGH SCHOOL51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,Adm,Hispanic/ Latino,9
3046,JAMES A GARFIELD HIGH SCHOOL51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,App,Hispanic/ Latino,52
3047,JAMES A GARFIELD HIGH SCHOOL51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,Adm,All,10
3048,JAMES A GARFIELD HIGH SCHOOL51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,App,All,55
3049,JAMES BOWIE HIGH SCHOOL440243,JAMES BOWIE HIGH SCHOOL,Arlington,TX,App,Asian,5
3050,JAMES BOWIE HIGH SCHOOL440243,JAMES BOWIE HIGH SCHOOL,Arlington,TX,App,All,8
3051,JAMES LICK HIGH SCHOOL53090,JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,18
3052,JAMES LICK HIGH SCHOOL53090,JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,Adm,All,4
3053,JAMES LICK HIGH SCHOOL53090,JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,App,All,24
3054,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Enr,White,3
3055,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Adm,White,3
3056,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,App,White,12
3057,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Enr,Asian,18
3058,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Adm,Asian,26
3059,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,App,Asian,105
3060,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Enr,Hispanic/ Latino,4
3061,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Adm,Hispanic/ Latino,4
3062,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,App,Hispanic/ Latino,27
3063,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Enr,All,26
3064,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,Adm,All,34
3065,JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,App,All,150
3066,JAMES MADISON HIGH SCHOOL52853,JAMES MADISON HIGH SCHOOL,San Diego,San Diego,App,Asian,6
3067,JAMES MADISON HIGH SCHOOL52853,JAMES MADISON HIGH SCHOOL,San Diego,San Diego,App,All,15
3068,JAMES MADISON MEMORIAL HS501157,JAMES MADISON MEMORIAL HS,Madison,WI,App,Asian,5
3069,JAMES MADISON MEMORIAL HS501157,JAMES MADISON MEMORIAL HS,Madison,WI,App,All,6
3070,JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,App,Hispanic/ Latino,9
3071,JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,Enr,All,3
3072,JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,Adm,All,4
3073,JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,App,All,14
3074,JAMNABAI NARSEE SCHOOL671741,JAMNABAI NARSEE SCHOOL,,,App,Inter- national,11
3075,JAMNABAI NARSEE SCHOOL671741,JAMNABAI NARSEE SCHOOL,,,App,All,14
3076,JAYSHREE PERIWAL INTERNATIONAL671639,JAYSHREE PERIWAL INTERNATIONAL,,,App,Inter- national,13
3077,JAYSHREE PERIWAL INTERNATIONAL671639,JAYSHREE PERIWAL INTERNATIONAL,,,Adm,All,3
3078,JAYSHREE PERIWAL INTERNATIONAL671639,JAYSHREE PERIWAL INTERNATIONAL,,,App,All,15
3079,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,Adm,Asian,4
3080,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,App,Asian,25
3081,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,App,Hispanic/ Latino,7
3082,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,Enr,All,3
3083,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,Adm,All,5
3084,JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,App,All,34
3085,JENKS HIGH SCHOOL371905,JENKS HIGH SCHOOL,Jenks,OK,App,All,5
3086,JENSEN BEACH HIGH SCHOOL100846,JENSEN BEACH HIGH SCHOOL,Jensen Beach,FL,App,White,5
3087,JENSEN BEACH HIGH SCHOOL100846,JENSEN BEACH HIGH SCHOOL,Jensen Beach,FL,App,All,6
3088,JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,App,Asian,13
3089,JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,App,Hispanic/ Latino,9
3090,JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,Enr,All,4
3091,JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,Adm,All,4
3092,JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,App,All,25
3093,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,Domestic Unknown,6
3094,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Adm,White,5
3095,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,White,24
3096,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Adm,Asian,4
3097,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,Asian,9
3098,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Adm,Hispanic/ Latino,3
3099,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,Hispanic/ Latino,16
3100,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,African American,5
3101,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Enr,All,6
3102,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Adm,All,12
3103,JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,All,60
3104,JESUIT HIGH SCHOOL380897,JESUIT HIGH SCHOOL,Portland,OR,App,White,12
3105,JESUIT HIGH SCHOOL380897,JESUIT HIGH SCHOOL,Portland,OR,App,Asian,5
3106,JESUIT HIGH SCHOOL380897,JESUIT HIGH SCHOOL,Portland,OR,Adm,All,3
3107,JESUIT HIGH SCHOOL380897,JESUIT HIGH SCHOOL,Portland,OR,App,All,23
3108,JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,App,White,10
3109,JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,Adm,All,3
3110,JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,App,All,13
3111,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Enr,Asian,4
3112,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Adm,Asian,10
3113,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,App,Asian,65
3114,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,App,Hispanic/ Latino,8
3115,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Enr,All,5
3116,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Adm,All,11
3117,JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,App,All,75
3118,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Adm,White,3
3119,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,App,White,27
3120,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Adm,Asian,3
3121,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,App,Asian,13
3122,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Adm,Hispanic/ Latino,4
3123,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,App,Hispanic/ Latino,21
3124,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Enr,All,5
3125,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Adm,All,10
3126,JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,App,All,66
3127,JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,App,Hispanic/ Latino,21
3128,JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,Enr,All,3
3129,JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,Adm,All,4
3130,JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,App,All,25
3131,JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,App,White,5
3132,JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,App,Asian,16
3133,JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,App,Hispanic/ Latino,6
3134,JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,Adm,All,3
3135,JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,App,All,29
3136,JOHN CHAMPE HIGH SCHOOL470021,JOHN CHAMPE HIGH SCHOOL,Aldie,VA,App,Asian,8
3137,JOHN CHAMPE HIGH SCHOOL470021,JOHN CHAMPE HIGH SCHOOL,Aldie,VA,Adm,All,4
3138,JOHN CHAMPE HIGH SCHOOL470021,JOHN CHAMPE HIGH SCHOOL,Aldie,VA,App,All,9
3139,JOHN COOPER SCHOOL446991,JOHN COOPER SCHOOL,The Woodlands,TX,App,All,7
3140,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Enr,Asian,3
3141,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Adm,Asian,6
3142,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,App,Asian,23
3143,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Adm,Hispanic/ Latino,3
3144,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Enr,All,6
3145,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Adm,All,10
3146,JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,App,All,34
3147,JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,App,Hispanic/ Latino,29
3148,JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,Adm,All,3
3149,JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,App,All,42
3150,JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Enr,African American,3
3151,JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Adm,African American,3
3152,JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Enr,All,6
3153,JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Adm,All,6
3154,JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,App,All,10
3155,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,White,6
3156,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Enr,Asian,3
3157,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Adm,Asian,7
3158,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,Asian,32
3159,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,Hispanic/ Latino,5
3160,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,African American,6
3161,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Enr,All,4
3162,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Adm,All,8
3163,JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,All,52
3164,JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,App,White,8
3165,JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,App,Asian,7
3166,JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,App,Hispanic/ Latino,15
3167,JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,Adm,All,3
3168,JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,App,All,32
3169,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Adm,Asian,3
3170,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Enr,Hispanic/ Latino,8
3171,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Adm,Hispanic/ Latino,10
3172,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,App,Hispanic/ Latino,48
3173,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Enr,All,9
3174,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Adm,All,14
3175,JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,App,All,59
